series,real_fraction,mean_final,sd_final,n_seeds
base:induction_best,0.1,0,0.9482,0.0141,0
base:induction_best,0.1,1,0.9544,0.0263,0
base:induction_best,0.1,2,0.9599,0.0075,0
base:induction_best,0.1,3,0.9607,0.0043,0
base:induction_best,0.1,4,0.9439,0.0162,0
base:induction_best,0.1,5,0.9574,0.0093,0
base:induction_best,0.25,0,0.9482,0.0141,0
base:induction_best,0.25,1,0.9109,0.0723,0
base:induction_best,0.25,2,0.9418,0.053,0
base:induction_best,0.25,3,0.9461,0.0202,0
base:induction_best,0.25,4,0.9677,0.0124,0
base:induction_best,0.25,5,0.9601,0.0138,0
base:induction_best,0.5,0,0.9482,0.0141,0
base:induction_best,0.5,1,0.9551,0.0343,0
base:induction_best,0.5,2,0.9565,0.0092,0
base:induction_best,0.5,3,0.9433,0.0201,0
base:induction_best,0.5,4,0.8645,0.1415,0
base:induction_best,0.5,5,0.8425,0.1133,0
base:induction_best,1.0,0,0.9482,0.0141,0
base:induction_best,1.0,1,0.9671,0.0033,0
base:induction_best,1.0,2,0.9627,0.0024,0
base:induction_best,1.0,3,0.8864,0.1189,0
base:induction_best,1.0,4,0.9377,0.0336,0
base:induction_best,1.0,5,0.9423,0.0161,0
base:causal_drop,0.0,0,0.8177,0.0708,0
base:causal_drop,0.0,1,0.846,0.0404,0
base:causal_drop,0.0,2,0.8527,0.085,0
base:causal_drop,0.0,3,0.9266,0.0377,0
base:causal_drop,0.0,4,0.8061,0.1351,0
base:causal_drop,0.0,5,0.7626,0.0134,0
base:causal_drop,0.1,0,0.8177,0.0708,0
base:causal_drop,0.1,1,0.8636,0.0071,0
base:causal_drop,0.1,2,0.9465,0.035,0
base:causal_drop,0.1,3,0.9408,0.0406,0
base:causal_drop,0.1,4,0.8963,0.0556,0
base:causal_drop,0.1,5,0.8223,0.0465,0
base:causal_drop,0.25,0,0.8177,0.0708,0
base:causal_drop,0.25,1,0.8907,0.0474,0
base:causal_drop,0.25,2,0.8663,0.0879,0
base:causal_drop,0.25,3,0.8188,0.0806,0
base:causal_drop,0.25,4,0.8661,0.0988,0
base:causal_drop,0.25,5,0.8193,0.1114,0
base:causal_drop,0.5,0,0.8177,0.0708,0
base:causal_drop,0.5,1,0.8528,0.0362,0
base:causal_drop,0.5,2,0.9736,0.018,0
base:causal_drop,0.5,3,0.8891,0.0658,0
base:causal_drop,0.5,4,0.7437,0.2457,0
base:causal_drop,0.5,5,0.6812,0.1846,0
base:causal_drop,1.0,0,0.8177,0.0708,0
base:causal_drop,1.0,1,0.8744,0.0426,0
base:causal_drop,1.0,2,0.8678,0.0194,0
base:causal_drop,1.0,3,0.8221,0.1915,0
base:causal_drop,1.0,4,0.7807,0.1524,0
base:causal_drop,1.0,5,0.6479,0.0574,0
base:query_acc_all,0.0,0,1.0,0.0,0
base:query_acc_all,0.0,1,1.0,0.0,0
